,Norsk navn,Engelsk navn,FAO,Scientific.name,Category,Subcategory,
1,Annen skate og rokke,Skates and rays- mantas nei,SRX,Rajiformes,Demersal,Non-quota,
2,,,,Centrolophidae,NA,NA,check
3,Vågehval,Minke whale,MIW,Balaenoptera acutorostrata,Cetacean,NA,
4,Isfisk uspes.,Crocodile icefishes nei,ICX,Channichthyidae,Demersal,Non-quota,
5,Torskefamilien,,,Gadidae,Demersal,Quota-limited,
6,Raudåte,Calanus finmarchicus **,JCM,Calanus finmarchicus,NA,NA,drop
7,Istorsk,Arctic Cod,ATG,Arctogadus glacialis,Planktivore,NA,
8,Vanlig ulke,Shorthorn sculpin,MXV,Myoxocephalus scorpius,Demersal,Non-quota,
9,,Antarctic rockcods- noties nei,,Nototheniidae,Demersal,Non-quota,
10,Flyndrefamilien,,,Pleuronectidae,Demersal,Quota-limited,
11,Spekkhogger,Killer whale,KIW,Orcinus orca,Cetacean,NA,
12,Blåhval,Blue whale,BLW,Balaenoptera musculus,Cetacean,NA,
13,Fårehodetannkarpe,Sheepshead minnow,YCK,Cyprinodon variegatus,Planktivore,NA,
14,Småsil,Small sandeel,ABZ,Ammodytes tobianus,Planktivore,NA,
15,Butare,Babberlocks,AJC,Alaria esculenta,Macrophyte,NA,
16,Koralldyr,Corals,AJH,Anthozoa,Benthos suspension deposit feeder,NA,
17,Brungylt,Scale-rayed wrasse,AKL,Acantholabrus palloni,Demersal,Non-quota,
18,,,,Oreosomatidae (oreos),Planktivore,NA,
19,Antarctic silverfish *,Antarctic silverfish,ANS,Pleuragramma antarcticum,Planktivore,NA,
20,Antarctic stone crab *,Antarctic stone crab,KCV,Paralomis spinosissima,Benthos carnivore,NA,
21,Antarktisk krill,Antarctic krill,KRI,Euphausia superba,Omnivorous zooplankton,NA,
22,Krinakrabbe,Galathea strigosa **,LOQ,Galathea strigosa,Carnivorous benthic,NA,
23,,,,Ophidiidae,Demersal,Non-quota,
24,Sandkutling,Sand goby,OBZ,Pomatoschistus minutus,Demersal,Non-quota,
25,,,,Uranoscopidae,Demersal,Non-quota,
26,Antarctic starry skate *,Antarctic starry skate,SRR,Raja georgiana,Demersal,Non-quota,
27,Høyfinnet havbrasme,Rough pomfret,TAS,Taractes asper,Planktivore,NA,
28,Antarktisk tannfisk,Antartic toothfish,TOA,Dissostichus mawsoni,Demersal,Non-quota,
29,Antarktisk tannfisk-uspes.,Antartic toothfish- nei,TOT,Dissostichus spp,Demersal,Non-quota,
30,Rødpølse,Red sea cucumber,TVK,Parastichopus tremulus,Benthos suspension deposit feeder,NA,
31,Sørlig skolest,Whitson's grenadier,WGR,Macrourus whitsoni,Demersal,Non-quota,
32,Butt sandskjell,Blunt gaper,YTK,Mya truncata,Benthos suspension deposit feeder,NA,
